file,line,match,tag,snippet
app/style/page.tsx,4955,rgba(255;255;255;0.12) | rgba(255;255;255;0.25),,<div style={{ background: 'rgba(255;255;255;0.12)'; border: '1px solid rgba(255;255;255;0.25)'; borderRadius: 12; backdropFilter: 'blur(24px)'; padding: 24; maxWidth: 320; textAlign: 'center'; position: 'relative'; zIndex: 1 }}>
app/style/page.tsx,4957,rgba(255;255;255;0.7) | rgba(255;255;255;0.12),,<p style={{ ...sans; fontSize: 13; color: 'rgba(255;255;255;0.7)'; marginTop: 8 }}>Glass tint should enhance clarity. Use rgba(255;255;255;0.12).</p>
app/style/page.tsx,4962,rgba(255;255;255;0.12) | rgba(255;255;255;0.25),,<div style={{ background: 'rgba(255;255;255;0.12)'; border: '1px solid rgba(255;255;255;0.25)'; borderRadius: 12; backdropFilter: 'blur(24px)'; padding: 24; maxWidth: 320; textAlign: 'center'; position: 'relative'; zIndex: 1 }}>
app/style/page.tsx,4964,rgba(255;255;255;0.7),,<p style={{ ...sans; fontSize: 13; color: 'rgba(255;255;255;0.7)'; marginTop: 8 }}>Over photography; use stronger blur (24px) with white tint.</p>
app/style/page.tsx,5011,rgba(255;255;255;0.12) | rgba(34;16;16;0.06),,{ mistake: 'Wrong tint'; solution: 'Using pure white or cold colors breaks the warm aesthetic. Stick to rgba(255;255;255;0.12) or rgba(34;16;16;0.06).' };
app/style/page.tsx,5016,#FEF2F2 | #FECACA,,<div key={item.mistake} style={{ background: '#FEF2F2'; borderRadius: 12; padding: '18px 20px'; border: '1px solid #FECACA' }}>
app/style/page.tsx,5017,#B91C1C,,<p style={{ ...sansMed; fontSize: 12; color: '#B91C1C'; marginBottom: 6 }}>✗ {item.mistake}</p>
app/style/page.tsx,5018,#991B1B,,<p style={{ ...sans; fontSize: 11; color: '#991B1B'; lineHeight: 1.6 }}>→ {item.solution}</p>
app/style/page.tsx,5072,rgba(255;255;255;0.15),,background: rgba(255;255;255;0.15)<br />
app/style/page.tsx,5074,rgba(255;255;255;0.25),,border: 1px solid rgba(255;255;255;0.25)
app/style/page.tsx,5148,#C03227,,1. Red accent bar (3px; #C03227)<br />
app/style/page.tsx,5198,#78716C,,3. Description: Inter 300; 11px; #78716C<br />
app/style/page.tsx,5498,#22C55E,,<div style={{ width: 32; height: 32; borderRadius: 6; background: '#22C55E'; display: 'flex'; alignItems: 'center'; justifyContent: 'center'; flexShrink: 0 }}>
app/style/page.tsx,5520,#EF4444,,<div style={{ width: 32; height: 32; borderRadius: 6; background: '#EF4444'; display: 'flex'; alignItems: 'center'; justifyContent: 'center'; flexShrink: 0 }}>
app/style/page.tsx,5554,#22C55E,,<div style={{ width: 24; height: 24; borderRadius: 6; background: '#22C55E'; display: 'flex'; alignItems: 'center'; justifyContent: 'center'; flexShrink: 0 }}>
app/style/page.tsx,5562,#221010,,'Warm dark (#221010) for text; never pure black';
app/style/page.tsx,5566,#DF512B,,'Orange (#DF512B) for Wound Care CTAs';
app/style/page.tsx,5567,#D2A62C,,'Gold (#D2A62C) exclusively for Aesthetics';
app/style/page.tsx,5568,#2D5782,,'Blue (#2D5782) exclusively for International';
app/style/page.tsx,5573,#22C55E,,<div style={{ width: 4; height: 4; borderRadius: 2; background: '#22C55E'; flexShrink: 0; marginTop: 7 }} />
app/style/page.tsx,5591,#000000,,'Pure black (#000000) for text';
app/style/page.tsx,5592,#FFFFFF,,'Pure white (#FFFFFF) for page backgrounds';
app/style/page.tsx,5613,#0F0F0F | #221010,,['Text color'; '#0F0F0F \u2192 #221010'];
app/style/page.tsx,5648,rgba(255;255;255;0.45),,<p style={{ ...mono; fontSize: 11; color: 'rgba(255;255;255;0.45)'; marginBottom: 12 }}>08</p>
